displayName,date,description,name,value,tags,major_tags,stocksSummary,valuation,competitors_groups
Amazon,7/28/11,"Founded in 2002, Pushbutton is the UKs leading independent digital agency focused on interactive television content and services for new",Pushbutton,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,11/8/10,"Quidsi is an e-commerce platform selling baby-care, household and beauty products.",Quidsi,545000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,12/28/11,Quorus is a social commerce software company focused on delivering social shopping and marketing solutions for retailers and brands.,Quorus,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,10/22/08,video game provider,Reflexive Entertainment,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/12/18,"Ring is an outdoor home security company, providing a line of preventative outdoor security doorbells and cameras.",Ring,839000000 USD,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,10/27/14,Rooftop Media develops systems to produce audio and video programming for media channels.,Rooftop Media,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,9/25/15,Safaba Translation Solutionprovides enterprise machine translation solutions to leading global enterprises.,Safaba Translation Solutions,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,5/13/13,,Screentech,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,8/25/08,Shelfari is a social cataloging website that allow book lovers to create virtual bookshelves and keep track of what they read.,Shelfari,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
Amazon,4/10/15,Shoefitr provides a software solution that enables online footwear retailers to recommend shoe sizes for customers.,Shoefitr,,"['consumer goods', 'electronics', 'consumer electronics', 'ecommerce', 'platform', 'Technology', 'Retail', 'cloud', 'marketplace']","['Technology', 'Retail']",8.52E+11,851792685440 USD,1194
