index,displayName,displayName_parent,id
592,Euronext,Nasdaq,37891
593,New York Stock Exchange,Nasdaq,49989
594,London Stock Exchange,Nasdaq,119221
595,Cboe Global Markets,Nasdaq,119808
596,Nilfisk,Tennant,1357567
597,Solvay,Tennant,74286
598,BioAmber,Tennant,71068
599,Seal Bond,Tennant,999389
600,Amcor,Berry Global,253782
601,Bemis Company,Berry Global,197570
602,CCL Industries,Berry Global,1361249
603,SP Group,Berry Global,233836
604,Elefant.ro,Summer Infant,259407
605,Mothercare,Summer Infant,9340
606,Carter's,Summer Infant,127892
607,Maisonette,Summer Infant,257214
608,Geox,Rocky Brands,951890
609,L.L.Bean,Rocky Brands,1100519
610,Zando,Rocky Brands,87834
611,Aeffe,Rocky Brands,455629
612,Bunge,SunOpta,55581
613,Cargill,SunOpta,82185
614,Ebro Foods,SunOpta,6894
615,Thistle,SunOpta,191195
616,Shopsurya,AeroGrow International,259214
617,Snowe,AeroGrow International,249255
618,Seen on Screen TV,AeroGrow International,257096
619,smartphoto,AeroGrow International,252239
620,LG,Panasonic,260
621,Sony,Panasonic,325
622,Harman,Panasonic,1828
623,Electrolux,Panasonic,20432
624,Whirlpool,Panasonic,40514
625,Nikon,Panasonic,133152
626,Dunelm Group,Decora Blind Systems,8080
627,Andrew James,Decora Blind Systems,1122051
628,Patch,Decora Blind Systems,28522
629,The Range,Decora Blind Systems,404401
630,Harley-Davidson,Brunswick,1827
631,Honda,Brunswick,1829
632,Mattel,Brunswick,15351
633,Arctic Cat,Brunswick,231269
634,Polaris,Brunswick,247337
635,Mattress Firm,Casper,195076
636,Helix Sleep,Casper,253083
637,Leesa Sleep,Casper,255921
638,FloBeds,Casper,255927
639,Simba Sleep,Casper,259240
640,BedInABox,Casper,866085
641,Universal Corporation,Turning Point Brands,11829
642,Pax Labs,Turning Point Brands,244744
643,Japan Tobacco,Turning Point Brands,169127
644,Reynolds American,Turning Point Brands,11689
645,Work Tools International,CSS Industries,645203
646,Avco Key & Novelty,CSS Industries,1363282
647,Lucky Line,CSS Industries,359270
648,Kenny Products,CSS Industries,285345
649,DICK’S Sporting Goods,N Brown Group,127859
650,Wet Seal,N Brown Group,170819
651,ANN,N Brown Group,196632
652,Combat Gent,N Brown Group,251394
653,Athletic Stuff Store,Leatt,1369328
654,Performance Bike,Leatt,1370476
655,Bois Blanc Supply,Leatt,246750
656,Stansport,Leatt,1205897
657,Austria Pet Food,Central Garden & Pet Co,1398074
658,Splash and Dash for Dogs,Central Garden & Pet Co,2990
659,Ourpets,Central Garden & Pet Co,258482
660,Dogness,Central Garden & Pet Co,281243
661,Nature's Sunshine Products,Youngevity International,36386
662,ALOHA,Youngevity International,120662
663,Tupperware Brands,Youngevity International,139770
664,The Nature's Bounty,Youngevity International,251310
665,Andes Mountain Water,Alkaline Water,255179
666,Soma,Alkaline Water,1430
667,Seychelle Environmental Technologies,Alkaline Water,231617
668,Fred Water,Alkaline Water,252441
669,CoverGirl,Scott's Liquid Gold,557334
670,Comvita,Scott's Liquid Gold,235268
671,LR Health & Beauty Systems,Scott's Liquid Gold,807560
672,Lush,Scott's Liquid Gold,225232
673,Lands' End,Duluth Trading Company,246581
674,Carhartt,Duluth Trading Company,616005
675,Mission Linen Supply,Duluth Trading Company,753248
676,L.L.Bean,Duluth Trading Company,1100519
677,Chuck & Don's,Ourpets,253326
678,Pets At Home,Ourpets,9375
679,Ainsworth Pet Nutrition,Ourpets,1049287
680,Phydeaux,Ourpets,5940
681,Juul Labs,Gilla,279380
682,Pax Labs,Gilla,244744
683,Japan Tobacco,Gilla,169127
684,Philip Morris,Gilla,120983
685,Tilray,CV Sciences,283179
686,Sundial Growers,CV Sciences,1411191
687,NewBridge Global Ventures,CV Sciences,257238
