,displayName,tags,major_tags
1060,Graines Voltz,"['Food & Beverage', 'groceries', 'consumer goods', 'distribution', 'Retail', 'bcorp', 'agritech']","['Food & Beverage', 'Retail']"
1061,ICA Gruppen,"['groceries', 'consumer goods', 'insurance', 'Financial Services', 'supermarkets', 'Retail', 'banks']","['Financial Services', 'Retail']"
1062,Aquafil,"['flooring', 'fiber optic', 'consumer goods', 'Manufacturing & Industrial', 'polymers', 'textiles', 'engineering', 'Retail', 'chemicals']","['Manufacturing & Industrial', 'Retail']"
1063,Bozzuto's,"['consumer goods', 'procurement', 'distribution', 'Retail', 'logistics']",['Retail']
1064,Marktek,"['consumer goods', 'Manufacturing & Industrial', 'textiles']",['Manufacturing & Industrial']
1065,Apollo Sprayers,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'machinery', 'manufacturing equipment']",['Manufacturing & Industrial']
1066,Stewart-MacDonald,"['consumer goods', 'electronics', 'consumer electronics', 'distribution', 'music', 'Retail']",['Retail']
1067,N. Glantz & Son,"['consumer goods', 'distribution', 'lighting', 'Retail']",['Retail']
1068,American Fiber & Finishing,"['consumer goods', 'Manufacturing & Industrial', 'textiles']",['Manufacturing & Industrial']
1069,Kenny Products,"['consumer goods', 'Manufacturing & Industrial', 'accessories', 'distribution']",['Manufacturing & Industrial']
1070,Ranco Industries,"['flooring', 'consumer goods', 'Manufacturing & Industrial']",['Manufacturing & Industrial']
1071,Microframe,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'displays']",['Manufacturing & Industrial']
1072,UKAM Industrial Superhard Tools,"['consumer goods', 'metal products', 'Manufacturing & Industrial', 'machinery', 'manufacturing equipment', 'mechanical components', 'engineering']",['Manufacturing & Industrial']
1073,AXSA Imaging Solutions,"['printing', 'consumer goods', 'Business Products & Services', 'distribution', 'Retail']","['Business Products & Services', 'Retail']"
1074,In-Phase Technologies,"['fiber optic', 'consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics']",['Manufacturing & Industrial']
1075,Arlyn Scales,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'machinery', 'manufacturing equipment', 'Technology']","['Manufacturing & Industrial', 'Technology']"
1076,J.L. Wingert,"['consumer goods', 'Manufacturing & Industrial', 'water', 'manufacturing equipment', 'Retail', 'supply chain']","['Manufacturing & Industrial', 'Retail']"
1077,U.S. Rigging Supply,"['consumer goods', 'safety', 'sport', 'distribution', 'protective equipment', 'Retail']",['Retail']
1078,Soundproofing America,"['consumer goods', 'distribution', 'Retail']",['Retail']
1079,Milano Digital,"['consumer goods', 'Manufacturing & Industrial', 'plastic', 'distribution']",['Manufacturing & Industrial']
1080,Lovevery,"['consumer goods', 'toys', 'Retail', 'shipping']",['Retail']
1081,Clean Earth Systems,"['consumer goods', 'recycling', 'packaging', 'waste management', 'Energy & Utilities']",['Energy & Utilities']
1082,Indiana Stamp,"['printing', 'consumer goods', 'metal products', 'Manufacturing & Industrial', 'plastic']",['Manufacturing & Industrial']
1083,JKL Components,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics']",['Manufacturing & Industrial']
1084,H. A. Guden,"['consumer goods', 'metal products', 'Manufacturing & Industrial', 'distribution', 'Retail']","['Manufacturing & Industrial', 'Retail']"
1085,Minor Rubber,"['consumer goods', 'Manufacturing & Industrial', 'polymers', 'accessories']",['Manufacturing & Industrial']
1086,NorMed,"['consumer goods', 'health & beauty', 'medical devices', 'Healthcare', 'supplements', 'Retail']","['Healthcare', 'Retail']"
1087,FastVision,"['consumer goods', 'Manufacturing & Industrial', 'optics']",['Manufacturing & Industrial']
1088,Larson Electronics,"['consumer goods', 'electronics', 'Manufacturing & Industrial', 'consumer electronics', 'accessories', 'lighting']",['Manufacturing & Industrial']
1089,Cospolich,"['consumer goods', 'Manufacturing & Industrial', 'appliances']",['Manufacturing & Industrial']
1090,P&R Technologies,"['consumer goods', 'metal products', 'Manufacturing & Industrial', 'lighting']",['Manufacturing & Industrial']
1091,Farwest Paint Manufacturing,"['consumer goods', 'Manufacturing & Industrial', 'distribution']",['Manufacturing & Industrial']
1092,Big Creek Lumber,"['consumer goods', 'consumer products & services', 'wood product', 'building materials', 'Retail']",['Retail']
1093,Kappler,"['consumer goods', 'safety', 'Manufacturing & Industrial', 'textiles', 'accessories', 'protective equipment', 'clothing', 'advanced materials']",['Manufacturing & Industrial']
1094,Colonial Needle,"['consumer goods', 'Manufacturing & Industrial', 'accessories']",['Manufacturing & Industrial']
1095,The Original Bungee,"['consumer goods', 'Retail']",['Retail']
1096,Avco Key & Novelty,"['consumer goods', 'accessories', 'distribution', 'Retail']",['Retail']
1097,Nordic Group of Companies,"['consumer goods', 'accessories', 'manufacturing equipment', 'toys', 'vehicles', 'Retail']",['Retail']
1098,GCJ,"['consumer goods', 'wood product', 'Retail']",['Retail']
1099,Globe Scientific,"['consumer goods', 'plastic', 'medical devices', 'distribution', 'Retail']",['Retail']
1100,Modern Pacific Corporation,"['consumer goods', 'Manufacturing & Industrial', 'home & garden', 'Retail', 'furniture']","['Manufacturing & Industrial', 'Retail']"
1101,Mocap,"['consumer goods', 'Manufacturing & Industrial', 'plastic']",['Manufacturing & Industrial']
