,blacklisted,companyType,displayName,foundedYear,logo,parentCompany,stockTicker,stocksSummary,totalFunding,valuation
73,[],public,Advance Auto Parts,1932,{'url': 'https://uploads3.craft.co/uploads/company/logo/767xx/76743/normal_ad3d596a23dbdf29.png'},,AAP,11022866670.0,0 USD,11022866670 USD
74,[],public,Electrolux,1919,{'url': 'https://uploads3.craft.co/uploads/company/logo/204xx/20432/normal_9d720106d1876f08.jpg'},,ELUX-B.ST,85070000000.0,0 USD,
75,[],public,Party City Holdco,1947,{'url': 'https://uploads1.craft.co/uploads/company/logo/2493xx/249347/normal_c1d944890d67d50c.png'},{'displayName': 'Thomas H. Lee Partners'},PRTY,581731920.0,0 USD,581731920 USD
76,[],public,The Container Store,1978,{'url': 'https://uploads2.craft.co/uploads/company/logo/1908xx/190880/normal_77b2bb5f31cc081e.jpg'},,TCS,213671220.0,0 USD,213671220 USD
77,[],public,Tuesday Morning,1975,{'url': 'https://uploads4.craft.co/uploads/company/logo/1546xx/154661/normal_O5iMH5Va.jpeg'},,TUES,72304400.0,0 USD,72304400 USD
78,[],public,Sportsman's Warehouse,1986,{'url': 'https://uploads4.craft.co/uploads/company/logo/1037xx/103787/normal_6d65276d83656538.jpg'},,SPWH,248140200.0,0 USD,248140200 USD
79,[],subsidiary,Cabela's,1961,{'url': 'https://uploads5.craft.co/uploads/company/logo/926xx/92677/normal_9729cacbcc264def.jpeg'},{'displayName': 'Bass Pro Shops'},CAB,4265175613.5,0 USD,
80,[],public,Dunelm Group,1979,{'url': 'https://uploads4.craft.co/uploads/company/logo/80xx/8080/normal_79GBIs_D.png'},,DNLM.L,1480000000.0,0 USD,
81,[],public,PriceSmart,1993,{'url': 'https://uploads1.craft.co/uploads/company/logo/2037xx/203708/normal_st2lGTC9.png'},,PSMT,2057107040.0,0 USD,2057107040 USD
82,[],public,Unilever,1929,{'url': 'https://uploads4.craft.co/uploads/company/logo/20xx/2040/normal_anW5fha_.jpeg'},,ULVR.L,70837701515.0,0 USD,70837701515 USD
83,[],public,Fred's,1947,{'url': 'https://uploads2.craft.co/uploads/company/logo/2474xx/247417/normal_czKiLAyc.png'},,FRED,4457734.0,0 USD,4457734 USD
84,[],public,Travis Perkins,1797,{'url': 'https://uploads3.craft.co/uploads/company/logo/102xx/10205/normal_OyD6vEnd.jpeg'},,TPK.L,3830000000.0,0 USD,
